Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID
coffee cup,,Polka dots,NA,NA,NA,No,No,No,NA,270,67,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrCoffeecup_Remake_2_0,2_0,918
coffee cup,,Rose,NA,NA,NA,No,No,No,NA,270,67,Pink,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrCoffeecup_Remake_3_0,3_0,918
coffee cup,,Royal,NA,NA,NA,No,No,No,NA,270,67,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrCoffeecup_Remake_4_0,4_0,918
coffee cup,,Elegant,NA,NA,NA,No,No,No,NA,270,67,White,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrCoffeecup_Remake_5_0,5_0,918
coffee grinder,,NA,NA,NA,NA,No,No,No,NA,2200,550,Brown,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrCoffeemill,NA,920
common bluebottle model,,NA,NA,NA,NA,No,No,No,NA,NFS,900,Black,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectAosujiagehaToy,NA,7111
common butterfly model,,NA,NA,NA,NA,No,No,No,NA,NFS,480,White,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectMonshirochoToy,NA,7085
cooler box,,Blue,NA,NA,NA,No,No,No,NA,1700,425,Blue,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrCoolerbox_Remake_0_0,0_0,3064
cooler box,,Red,NA,NA,NA,No,No,No,NA,1700,425,Red,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrCoolerbox_Remake_1_0,1_0,3064
cooler box,,Yellow,NA,NA,NA,No,No,No,NA,1700,425,Yellow,Black,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrCoolerbox_Remake_2_0,2_0,3064
cooler box,,Green,NA,NA,NA,No,No,No,NA,1700,425,Green,Black,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrCoolerbox_Remake_3_0,3_0,3064
cordless phone,,White,NA,NA,NA,No,No,No,NA,1600,400,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_0_0,0_0,4009
cordless phone,,Black,NA,NA,NA,No,No,No,NA,1600,400,Black,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_1_0,1_0,4009
cordless phone,,Silver,NA,NA,NA,No,No,No,NA,1600,400,Gray,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_2_0,2_0,4009
cordless phone,,Red,NA,NA,NA,No,No,No,NA,1600,400,Red,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_3_0,3_0,4009
cordless phone,,Light blue,NA,NA,NA,No,No,No,NA,1600,400,Light blue,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_4_0,4_0,4009
cordless phone,,Pink,NA,NA,NA,No,No,No,NA,1600,400,Pink,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_5_0,5_0,4009
cordless phone,,Yellow,NA,NA,NA,No,No,No,NA,1600,400,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,living room,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrPhoneCordless_Remake_6_0,6_0,4009
crawfish model,,NA,NA,NA,NA,No,No,No,NA,NFS,600,Red,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishZariganiToy,NA,7029
cream and sugar,,Brown,NA,NA,NA,No,No,No,NA,500,125,Orange,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrSugermilk_Remake_0_0,0_0,1161
cream and sugar,,Silver,NA,NA,NA,No,No,No,NA,500,125,Gray,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrSugermilk_Remake_1_0,1_0,1161
cream and sugar,,White,NA,NA,NA,No,No,No,NA,500,125,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrSugermilk_Remake_2_0,2_0,1161
cream and sugar,,Floral,NA,NA,NA,No,No,No,NA,500,125,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Dining,Does not play music,No lighting,For sale,FtrSugermilk_Remake_3_0,3_0,1161
cricket model,,NA,NA,NA,NA,No,No,No,NA,NFS,390,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectKohrogiToy,NA,7077
crucian carp model,,NA,NA,NA,NA,No,No,No,NA,NFS,480,Brown,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishFunaToy,NA,6929
cushion,,NA,NA,White,Cover,No,No,Yes,1,300,75,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_0,0_0,1792
cushion,,NA,NA,Floral,Cover,No,No,Yes,1,300,75,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_1,0_1,1792
cushion,,NA,NA,Alphabet,Cover,No,No,Yes,1,300,75,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_2,0_2,1792
cushion,,NA,NA,Paisley,Cover,No,No,Yes,1,300,75,Red,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_3,0_3,1792
cushion,,NA,NA,Rainbow colors,Cover,No,No,Yes,1,300,75,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_4,0_4,1792
cushion,,NA,NA,Pop,Cover,No,No,Yes,1,300,75,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrCushion_Remake_0_5,0_5,1792
cute music player,,White,NA,NA,NA,No,No,No,NA,2600,650,White,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,None,cute,None,Yes,Audio,Cheap,No lighting,For sale,FtrCuteAudio_Remake_0_0,0_0,4003
cute music player,,Sky blue,NA,NA,NA,No,No,No,NA,2600,650,Light blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,None,cute,None,Yes,Audio,Cheap,No lighting,For sale,FtrCuteAudio_Remake_1_0,1_0,4003
cute music player,,Yellow,NA,NA,NA,No,No,No,NA,2600,650,Yellow,Orange,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,None,cute,None,Yes,Audio,Cheap,No lighting,For sale,FtrCuteAudio_Remake_2_0,2_0,4003
cute music player,,Red,NA,NA,NA,No,No,No,NA,2600,650,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,None,cute,None,Yes,Audio,Cheap,No lighting,For sale,FtrCuteAudio_Remake_3_0,3_0,4003
cute music player,,Blue,NA,NA,NA,No,No,No,NA,2600,650,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,None,cute,None,Yes,Audio,Cheap,No lighting,For sale,FtrCuteAudio_Remake_4_0,4_0,4003
cutting board,,No finish,Finish,Red,Towel,Yes,Yes,Yes,3,NFS,990,Beige,Red,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_0_0,0_0,3618
cutting board,,No finish,Finish,Blue,Towel,Yes,Yes,Yes,3,NFS,990,Beige,Blue,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_0_1,0_1,3618
cutting board,,No finish,Finish,Yellow,Towel,Yes,Yes,Yes,3,NFS,990,Beige,Yellow,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_0_2,0_2,3618
cutting board,,Cherry brown,Finish,Red,Towel,Yes,Yes,Yes,3,NFS,990,Orange,Red,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_1_0,1_0,3618
cutting board,,Cherry brown,Finish,Blue,Towel,Yes,Yes,Yes,3,NFS,990,Orange,Blue,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_1_1,1_1,3618
cutting board,,Cherry brown,Finish,Yellow,Towel,Yes,Yes,Yes,3,NFS,990,Orange,Yellow,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_1_2,1_2,3618
cutting board,,Dark,Finish,Red,Towel,Yes,Yes,Yes,3,NFS,990,Brown,Red,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_2_0,2_0,3618
cutting board,,Dark,Finish,Blue,Towel,Yes,Yes,Yes,3,NFS,990,Brown,Blue,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_2_1,2_1,3618
cutting board,,Dark,Finish,Yellow,Towel,Yes,Yes,Yes,3,NFS,990,Brown,Yellow,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_2_2,2_2,3618
cutting board,,Natural,Finish,Red,Towel,Yes,Yes,Yes,3,NFS,990,Yellow,Red,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_3_0,3_0,3618
cutting board,,Natural,Finish,Blue,Towel,Yes,Yes,Yes,3,NFS,990,Yellow,Blue,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_3_1,3_1,3618
cutting board,,Natural,Finish,Yellow,Towel,Yes,Yes,Yes,3,NFS,990,Yellow,Yellow,1x1,Crafting,,1.0.0,kitchen,shop,None,None,No,Kitchen Things,Does not play music,No lighting,Not for sale,FtrCuttingboard_Remake_3_2,3_2,3618
cyclommatus stag model,,NA,NA,NA,NA,No,No,No,NA,NFS,24000,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectHosoakakuwagataToy,NA,7064
dab model,,NA,NA,NA,NA,No,No,No,NA,NFS,900,Brown,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishKareiToy,NA,6965
dace model,,NA,NA,NA,NA,No,No,No,NA,NFS,720,Brown,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishUguiToy,NA,7024
DAL model plane,,Blue,Color,NA,NA,No,Yes,No,2,NFS,1010,Blue,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,child's room,living room,None,None,No,Toy,Does not play music,No lighting,Not for sale,FtrDalFigure_Remake_0_0,0_0,12140
DAL model plane,,Yellow,Color,NA,NA,No,Yes,No,2,NFS,1010,Yellow,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,child's room,living room,None,None,No,Toy,Does not play music,No lighting,Not for sale,FtrDalFigure_Remake_1_0,1_0,12140
DAL model plane,,Orange,Color,NA,NA,No,Yes,No,2,NFS,1010,Orange,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,child's room,living room,None,None,No,Toy,Does not play music,No lighting,Not for sale,FtrDalFigure_Remake_2_0,2_0,12140
DAL model plane,,Green,Color,NA,NA,No,Yes,No,2,NFS,1010,Green,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,child's room,living room,None,None,No,Toy,Does not play music,No lighting,Not for sale,FtrDalFigure_Remake_3_0,3_0,12140
DAL mug,,NA,NA,NA,NA,No,No,No,NA,NFS,1010,Blue,White,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,kitchen,living room,None,None,No,Dining,Does not play music,No lighting,Not for sale,FtrDalMug,NA,12139
Dala horse,,Red,Variation,NA,NA,No,Yes,No,2,NFS,1300,Red,Colorful,1x1,Gulliver,,1.0.0,folk art,None,None,None,No,Folk Craft Decor,Does not play music,No lighting,Not for sale,FtrDalecarlianhorse_Remake_0_0,0_0,685
Dala horse,,Blue,Variation,NA,NA,No,Yes,No,2,NFS,1300,Blue,Colorful,1x1,Gulliver,,1.0.0,folk art,None,None,None,No,Folk Craft Decor,Does not play music,No lighting,Not for sale,FtrDalecarlianhorse_Remake_1_0,1_0,685
Dala horse,,White,Variation,NA,NA,No,Yes,No,2,NFS,1300,White,Colorful,1x1,Gulliver,,1.0.0,folk art,None,None,None,No,Folk Craft Decor,Does not play music,No lighting,Not for sale,FtrDalecarlianhorse_Remake_2_0,2_0,685
damselfly model,,NA,NA,NA,NA,No,No,No,NA,NFS,1500,Black,Blue,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectItotonboToy,NA,7121
darner dragonfly model,,NA,NA,NA,NA,No,No,No,NA,NFS,690,Green,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectGinyanmaToy,NA,7058
decoy duck,,Natural,Design,NA,NA,Yes,Yes,No,1,NFS,480,Beige,Beige,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_0_0,0_0,1797
decoy duck,,Mallard,Design,NA,NA,Yes,Yes,No,1,NFS,480,Beige,Green,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_1_0,1_0,1797
decoy duck,,Spot-billed,Design,NA,NA,Yes,Yes,No,1,NFS,480,Brown,Beige,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_2_0,2_0,1797
decoy duck,,Greater scaup,Design,NA,NA,Yes,Yes,No,1,NFS,480,White,Black,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_3_0,3_0,1797
decoy duck,,Common pochard,Design,NA,NA,Yes,Yes,No,1,NFS,480,White,Orange,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_4_0,4_0,1797
decoy duck,,Steamer duck,Design,NA,NA,Yes,Yes,No,1,NFS,480,Black,Black,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_5_0,5_0,1797
decoy duck,,Duck,Design,NA,NA,Yes,Yes,No,1,NFS,480,White,White,1x1,Crafting,,1.0.0,child's room,None,None,None,No,Animal,Does not play music,No lighting,Not for sale,FtrDecoy_Remake_6_0,6_0,1797
desk mirror,,Gold,NA,NA,NA,No,No,No,NA,1600,400,Yellow,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_0_0,0_0,1868
desk mirror,,Red,NA,NA,NA,No,No,No,NA,1600,400,Red,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_1_0,1_0,1868
desk mirror,,Pink,NA,NA,NA,No,No,No,NA,1600,400,Pink,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_2_0,2_0,1868
desk mirror,,Blue,NA,NA,NA,No,No,No,NA,1600,400,Blue,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_3_0,3_0,1868
desk mirror,,White,NA,NA,NA,No,No,No,NA,1600,400,White,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_4_0,4_0,1868
desk mirror,,Black,NA,NA,NA,No,No,No,NA,1600,400,Black,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,shop,None,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrMirror_Remake_5_0,5_0,1868
desktop computer,,Black,NA,Desktop,Screen,No,No,Yes,7,100000,25000,Black,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_0,0_0,3590
desktop computer,,Black,NA,Search engine,Screen,No,No,Yes,7,100000,25000,Black,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_1,0_1,3590
desktop computer,,Black,NA,Calculations,Screen,No,No,Yes,7,100000,25000,Black,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_2,0_2,3590
desktop computer,,Black,NA,Web browsing,Screen,No,No,Yes,7,100000,25000,Black,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_3,0_3,3590
desktop computer,,Black,NA,Programming,Screen,No,No,Yes,7,100000,25000,Black,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_4,0_4,3590
desktop computer,,Black,NA,Art program,Screen,No,No,Yes,7,100000,25000,Black,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_5,0_5,3590
desktop computer,,Black,NA,Digital audio workstation,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_0_6,0_6,3590
desktop computer,,Silver,NA,Desktop,Screen,No,No,Yes,7,100000,25000,Gray,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_0,1_0,3590
desktop computer,,Silver,NA,Search engine,Screen,No,No,Yes,7,100000,25000,Gray,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_1,1_1,3590
desktop computer,,Silver,NA,Calculations,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_2,1_2,3590
desktop computer,,Silver,NA,Web browsing,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_3,1_3,3590
desktop computer,,Silver,NA,Programming,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_4,1_4,3590
desktop computer,,Silver,NA,Art program,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_5,1_5,3590
desktop computer,,Silver,NA,Digital audio workstation,Screen,No,No,Yes,7,100000,25000,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_1_6,1_6,3590
desktop computer,,White,NA,Desktop,Screen,No,No,Yes,7,100000,25000,White,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_0,2_0,3590
desktop computer,,White,NA,Search engine,Screen,No,No,Yes,7,100000,25000,White,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_1,2_1,3590
desktop computer,,White,NA,Calculations,Screen,No,No,Yes,7,100000,25000,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_2,2_2,3590
desktop computer,,White,NA,Web browsing,Screen,No,No,Yes,7,100000,25000,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_3,2_3,3590
desktop computer,,White,NA,Programming,Screen,No,No,Yes,7,100000,25000,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_4,2_4,3590
desktop computer,,White,NA,Art program,Screen,No,No,Yes,7,100000,25000,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_5,2_5,3590
desktop computer,,White,NA,Digital audio workstation,Screen,No,No,Yes,7,100000,25000,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_2_6,2_6,3590
desktop computer,,Pink,NA,Desktop,Screen,No,No,Yes,7,100000,25000,Pink,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_0,3_0,3590
desktop computer,,Pink,NA,Search engine,Screen,No,No,Yes,7,100000,25000,Pink,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_1,3_1,3590
desktop computer,,Pink,NA,Calculations,Screen,No,No,Yes,7,100000,25000,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_2,3_2,3590
desktop computer,,Pink,NA,Web browsing,Screen,No,No,Yes,7,100000,25000,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_3,3_3,3590
